Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error
,,,,1.171107752119803,0.11966789083747766
,,,,1.3921859233764526,0.14305162588916265
,,,,1.6097906889312181,0.16579819075938584
,,,,1.8245111160055338,0.18773844403075485
,,,,2.0369912200394147,0.20873026263327146
,,,,2.247899550556078,0.2286687309156011
,,,,2.457915070381701,0.24748369886639351
,,,,2.6676802954065892,0.26514183488805415
,,,,2.8777965122099136,0.28163994668218395
,,,,3.0887891083005687,0.29700487055254426
,,,,3.3010972173904376,0.3112829825293524
,,,,3.5150540946404174,0.32454085727054593
,,,,3.730874368954593,0.33685729844949497
,,,,3.9486414901312727,0.34832281726193653
,,,,4.168300458762003,0.35903782037133986
,,,,4.389634918890824,0.36911448162164245
,,,,4.612273689064394,0.37867890571972257
,,,,4.83567518422127,0.3878783123903304
,,,,5.059139184694488,0.39688786567488904
,,,,5.281817351009513,0.4059217855583788
,,,,5.502748148519226,0.4152361220117706
,,,,5.720902400174317,0.4251304550906032
,,,,5.935251725818112,0.4359285319800094
,,,,6.14484459994594,0.4479431848885979
,,,,6.3488966299229865,0.46142252168313436
,,,,6.54685406756896,0.47649226804204603
,,,,6.738447614371816,0.4931106595795262
,,,,6.923710138705022,0.5110586392365174
,,,,7.102945416935663,0.5299707205382299
,,,,7.27667449616593,0.549397389959399
,,,,7.4455570321802815,0.5688794281818526
,,,,7.610297044283306,0.5880146545747322
,,,,7.771568546452765,0.6065011495116995
,,,,7.929939619261378,0.6241579555271914
,,,,8.085829476034917,0.6409233858465695
,,,,8.23947289830177,0.656841762813051
,,,,8.390911226362231,0.6720419589965148
,,,,8.539990911391822,0.6867154069386253
,,,,8.686369154282815,0.701093515520143
,,,,8.829533624749136,0.7154244900523139
,,,,8.9688227325782,0.729954594083892
,,,,9.103457280979573,0.7449077300597996
,,,,9.232582865495697,0.7604693109597814
,,,,9.355306893879465,0.7767732710650713
,,,,9.470748144221098,0.7938937202338219
,,,,9.578068251634015,0.8118413513030239
,,,,9.676490658610593,0.8305627804783875
,,,,9.765291095272744,0.8499420591313224
,,,,9.843759651240987,0.8698061758570064
,,,,9.911141803846416,0.8899314203676275
,,,,9.966582675323743,0.9100538208966862
,,,,10.009088468672058,0.9298836764393829
,,,,10.037521738132924,0.9491214173835189
,,,,10.05063186140719,0.9674749275490159
,,,,10.04708134275904,0.9846757518582193
,,,,10.025448518232075,1.000494462282117
,,,,9.984146936702043,1.0147509203271945
,,,,9.92128333182723,1.0273223366680717
,,,,9.834553854128753,1.038148237940768
